product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,savings,processed_at,brand,product_type,length,color,features,category_L1,category_L2,category_L3,category_L4,category_L5,product_name_clean
B07S9S86BF,boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",599,1490,60,4.1,161679,891,13-04-2026 18:32,boAt,Audio,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,boAt Bassheads 242 in Ear Wired Earphones with MicActive Black
B01F25X6RQ,Samsung Ehs64 Ehs64Avfwecinu Hands-Free Wired In Ear Earphones With Mic With Remote Note (White),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",499,499,0,4.2,31539,0,13-04-2026 18:32,Samsung,Remote,Not Available,White,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,Samsung Ehs64 Ehs64Avfwecinu HandsFree Wired In Ear Earphones With Mic With Remote Note White
B01DF26V7A,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Red)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",599,1299,54,4.1,192589,700,13-04-2026 18:32,JBL,Remote,Not Available,Red,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,JBL C100SI Wired In Ear Headphones with Mic JBL Pure Bass Sound One Button Multifunction Remote Premium Metallic Finish Angled Buds for Comfort fit Red
B09Z6WH2N1,"STRIFF 12 Pieces Highly Flexible Silicone Micro USB Protector, Mouse Cable Protector, Suit for All Cell Phones, Computers and Chargers (White)",Electronics|Mobiles&Accessories|MobileAccessories|Décor,95,499,81,4.2,1949,404,13-04-2026 18:32,STRIFF,Cable,Not Available,White,None,Electronics,Mobiles&Accessories,MobileAccessories,Décor,Unknown,STRIFF 12 Pieces Highly Flexible Silicone Micro USB Protector Mouse Cable Protector Suit for All Cell Phones Computers and Chargers White
B0BD92GDQH,"OnePlus Nord Watch with 1.78” AMOLED Display, 60 Hz Refresh Rate, 105 Fitness Modes, 10 Days Battery, SPO2, Heart Rate, Stress Monitor, Women Health Tracker & Multiple Watch Face [Midnight Black]",Electronics|WearableTechnology|SmartWatches,4999,6999,29,3.8,758,2000,13-04-2026 18:32,OnePlus,Smart Watch,Not Available,Black,None,Electronics,WearableTechnology,SmartWatches,Unknown,Unknown,OnePlus Nord Watch with 178 AMOLED Display 60 Hz Refresh Rate 105 Fitness Modes 10 Days Battery SPO2 Heart Rate Stress Monitor Women Health Tracker  Multiple Watch Face Midnight Black
B0B8ZWNR5T,"STRIFF 12 Pieces Highly Flexible Silicone Micro USB Protector, Mouse Cable Protector, Suit for All Cell Phones, Computers and Chargers (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Décor,79,499,84,4.2,1949,420,13-04-2026 18:32,STRIFF,Cable,Not Available,Black,None,Electronics,Mobiles&Accessories,MobileAccessories,Décor,Unknown,STRIFF 12 Pieces Highly Flexible Silicone Micro USB Protector Mouse Cable Protector Suit for All Cell Phones Computers and Chargers Black
B01F262EUU,"Samsung Original EHS64 Wired in Ear Earphones with Mic, Black","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",949,999,5,4.2,31539,50,13-04-2026 18:32,Samsung,Audio,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,Samsung Original EHS64 Wired in Ear Earphones with Mic Black
B071Z8M4KX,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",365,999,63,4.1,363711,634,13-04-2026 18:32,boAt,Audio,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,boAt BassHeads 100 inEar Wired Headphones with Mic Black
B01DEWVZ2C,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",599,999,40,4.1,192587,400,13-04-2026 18:32,JBL,Remote,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,JBL C100SI Wired In Ear Headphones with Mic JBL Pure Bass Sound One Button Multifunction Remote Angled Buds for Comfort fit Black
B07JQKQ91F,"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",499,999,50,3.9,92995,500,13-04-2026 18:32,JBL,Remote,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,JBL C50HI Wired in Ear Headphones with Mic One Button MultiFunction Remote Lightweight  Comfortable fit Black
B08W56G1K9,LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set of 3 (12 Pieces),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,99,999,90,4.1,8751,900,13-04-2026 18:32,Lapster,Cable,Not Available,Not Specified,None,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,CableConnectionProtectors,Unknown,LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set of 3 12 Pieces
B07KY3FNQP,boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",449,1290,65,4.1,91770,841,13-04-2026 18:32,boAt,Audio,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,boAt Bassheads 152 in Ear Wired Earphones with MicActive Black
